HOLEID,DEPTH,INCL,AZI,TYPE,DESC
818RP0005,213.48,67,125,vn,q
818RP0006,263.35,53,135,FW,q cor py bm 
818RP0006,265.6,76,257,HW,q cor py bm 
818RP0006,314.9,44,124,vn,q cl am bm
818RP0006,329.6,30,326,splay,q am ine cl bm
818RP0006,371.4,61,312,vn,q ine am bm
820CP0415,133.52,57,126,vn,q py
820CP0415,134,42,264,vn,q py
820CP0415,136,65,297,vn,q py
820CP0415,154.2,64,273,vn,q py
820CP0415,172,82,296,vn,q
820CR0607,67.6,40,160,vn,q py
820CR0607,82.4,74,291,vn,q ca
820CR0607,96.1,38,268,vn,q py
820CR0607,110.4,57,278,vn,q am py cor bm
820CR0607,133.25,67,265,vn,q py
820CR0608,81.13,87,329,vn,q cor bm
820CR0608,90,38,276,f,cl
820CR0611,68.27,71,299,vn,q cl py
820CR0611,87.98,80,291,vn,q
820CR0611,133.03,61,238,splay,q py
820CR0611,165.78,77,310,vn,q cor py bm 
820CR0611,177.85,81,266,vn,q cor bm
820CR0612,97.44,82,331,sh,
820CR0612,123,72,80,vn,q cor bm
820CR0612,158.83,54,321,vn,q cor bm
820CR0617,86.98,69,269,vb,q
820CR0617,88.9,53,287,sh,cl py
820CR0617,120.13,61,70,vn,q py am ca
820CR0617,141.62,61,303,vn,q cor py bm 
820CR0617,143.6,45,258,vn,q cor py bm 
820CR0619,114.28,55,313,vn,q cl am cor py bm
820CR0619,116.98,57,293,vn,q cl am cor py bm
820CR0619,154.05,87,74,HW,q cl cor py bm
820CR0619,158.7,48,246,vn,q cl cor py bm
820CR0619,164.9,76,241,vn,q cl cor py bm
820CR0619,166.75,61,286,vn,q
820CR0619,170.99,64,327,vn,q am cl py bm
820CR0619,183.37,50,335,vn,q ca am cor py rf
820RS0001,100.5,90,160,vn,q
820RS0001,105.23,72,317,vn,q
820RS0001,114.1,75,339,vn,q
820RS0001,128.3,63,303,vn,q
820RS0001,170.6,81,104,vn,q cor py
820RS0002,99.1,83,262,vn,q cor py bm 
820RS0002,104.7,53,259,vn,q py
844CP0546,145.75,86,335,vn,q
844CP0546,115,54,240,vn,q cor py bm 
844CP0546,172.95,53,52,vn,q cor py bm
844CP0546,180.8,83,253,vn,q cor
844CP0546,195.26,90,71,HW,cor q bm py
844CR0501,248.9,76,270,FW,q cl
844CR0501,251.8,69,90,intvb,q cor bm
844CR0501,257.68,36,54,intvb,q ine
844CR0501,68.35,71,326,vn,q chl cl py bm
844CR0501,133.34,72,274,vn,q am corr cl py bm
844CR0501,212.08,62,72,vn,q ca ine cor
844CR0501,216.8,78,220,vn,q ca corr ine cl py bm
844CR0501,222.68,82,109,vn,q ca corr ine cl py bm
844CR0501,228.17,61,333,vn,q ca corr ine cl py bm
844CR0501,228.43,53,0,vn,q ca corr ine cl py bm
844CR0501,231.1,59,346,vn,q ca corr ine cl py bm
844CR0502,295.66,24,216,FW,q am cor ine py bm
844CR0502,303.39,66,244,HW,q am cor ine py bm
844CR0502,122.4,75,174,vn,q am cor ca py bm
844CR0502,130.7,87,257,vn,q ca py 
844CR0502,155.16,42,323,vn,bx
844CR0502,267.67,59,64,vn,q cor cl py bm
844CR0502,268.32,71,58,vn,q cor cl py bm
844CR0502,284.95,58,246,vn,q ca py
844CR0503,195,56,228,vn,q am cor ca py bm
844CR0503,215.83,30,326,vn,q am cor ca py bm
844CR0503,266.05,76,94,FW,q cor bm
844CR0503,267.6,88,87,HW,q cor bm
844CR0503,246.15,85,227,vn,q cor py bm
844CR0503,220.42,71,281,vn,q cor py bm
844CR0503,223.56,64,280,vn,q cor py bm
844CR0503,221.25,63,222,vn,q cor py bm
844CR0503,227.2,86,52,vn,q py
844CR0503,231.8,70,258,vn,q am
844CR0503,234.8,25,47,vn,q am cor cl py
844CR0503,243.12,73,250,vn,q ca corr cl py bm
844CR0503,243.8,78,48,vn,q am py
844CR0503,246.3,77,227,vn,q cor py ine bm
844CR0503,246.7,75,218,vn,q cor py ine bm
844CR0504,331.84,69,242,FW,q am cor ca py bm
844CR0504,338.38,63,246,intvb,q am cor ca py bm
844CR0504,185.35,85,161,vn,q am cor ine py bm
844CR0504,238.15,60,143,vn,q ca am cor ine py bm
844CR0504,242.87,51,355,vn,q cor py bm
844CR0504,291.68,47,86,vn,q am cor py bm
844CR0504,320.96,82,206,vn,q ca
844CR0505,317.5,82,250,intvb,q am cor ine py bm
844CR0505,320.87,87,246,HW,q am cor ine py bm
844CR0505,153.09,60,97,vn,q ca am py bm
844CR0505,208.32,71,126,vn,q py qapc
844CR0505,255.76,68,172,vn,q cor cl py bm
844CR0505,274.95,58,18,vn,q cor py
844CR0505,304.78,70,73,vn,q am cor py bm
844CR0505,308.4,90,60,vn,q py
844CR0505,311.2,86,250,vn,q py
844CR0506,313.49,89,70,FW,q am cor ine py bm
844CR0506,316.69,69,263,splay,q py am
844CR0506,319.95,81,235,splay,q cor py bm
844CR0506,55.67,22,200,vn,q am ca py
844CR0506,66.52,89,285,vn,q am ca py
844CR0506,88.83,39,108,vn,q am ca py
844CR0506,198.7,79,289,vn,q ca py
844CR0506,200.38,59,212,vn,q ca cor cl py bm
844CR0506,254.5,46,57,vn,silicic shear zone
844CR0506,256.8,40,29,vn,Vn DHC
844CR0506,280.93,77,250,vn,q cor cl py bm
844CR0506,282.6,72,255,vn,q cor cl py bm
844CR0506,294.66,71,273,vn,q ca am py bm
844CR0507,367.5,77,256,FW,q am cor ine py bm
844CR0507,373.62,79,68,HW,q am cor ine py bm
844CR0507,131.11,76,225,vn,q ca am
844CR0507,161.55,84,258,vn,q ca am py
844CR0507,327.8,89,153,vn,q ca cor cl py bm
844CR0507,329.4,78,336,vn,q py
844CR0507,362.8,70,86,vn,intvn
844CR0507,365.34,70,86,vn,q ine cor py
844CR0507,366.06,70,147,vn,q ca py
844CR0538,264,54,260,FW,q corr cl py bm
844CR0538,272,84,245,HW,q corr cl py bm
844CR0538,118.9,63,46,vn,q cor am py bm
844CR0538,236.73,83,257,vn,q ca corr cl py bm
844CR0538,246.86,80,276,vn,q am py ine bm
844CR0538,255.53,85,263,vn,q corr cl py bm
844CR0538,256.3,68,90,vn,q corr cl py bm
844CR0538,257,89,96,vn,q corr cl py bm
844CR0538,260.7,76,73,vn,q corr cl py bm
844CR0538,297.18,55,190,vn,q ca corr py bm
844CR0539,239.15,77,265,FW,q cor ca py bm
844CR0539,244,82,106,intvn,q cor ca py bm
844CR0539,247.03,89,93,HW,q cor ca py bm
844CR0539,199.03,87,265,vn,q cor py ine bm
844CR0539,146.03,56,210,vn,q cor am py bm
844CR0540,169.42,76,277,vn,q cor py ine bm
844CR0540,180.63,77,268,vn,q cor py ine bm
844CR0540,179.96,89,147,vn,q ca am py
844CR0540,234.19,73,76,FW,q cor bm
844CR0540,240.27,88,79,HW,q cor bm
844CR0540,213.1,76,60,vn,q corr cl py bm
844CR0540,214,55,227,vn,q corr cl py bm
844CR0540,227.93,41,273,vn,q cor py ine bm rf
844CR0544,79.33,84,284,vn,q am cl py
844CR0544,118.46,66,263,vn,q am cl py
844CR0544,141.79,74,286,HW,crx VB
844CR0544,143.5,84,256,FW,crb
844CR0544,155.04,52,201,vn,q cor py ine
844CR0544,180.25,83,351,vn,q am cl py bm
844CR0544,195.72,70,27,FW,q cor py
844CR0544,197.44,90,47,HW,q cor py
844CR0545,66.82,59,293,vn,q bm py
844CR0545,111.35,67,315,link,q py ine bm lim cor mn
844CR0545,113.8,66,312,link,q py ine bm lim cor mn
844CR0545,167.46,46,256,HW,q py
844SP0573,96.14,51,275,intvn,q cor ine py bm
844SP0573,98.5,54,153,splay,q cor ine py bm
844SP0573,100.63,90,262,intvn,q cor ine py bm
844SP0573,10.47,80,254,vn,ca py
844SP0573,40.44,72,143,vn,ca py
844SP0573,46.24,78,121,vn,q ca am py
844SP0573,85,86,288,vn,q am cor py bm
844SP0573,94.53,81,272,vn,q cor py
844SP0598,93.95,57,260,HW,q ine cor py ca bm
844SP0598,95.58,69,279,FW,q ine cor py ca bm
